loan_id,customer_id,loan_amount,loan_date,loan_status,repayment_history,interest_rate,loan_purpose,collateral,default_risk
1,525,481952,9/12/2022,Closed,8,9.4,Medical,House,High
2,494,58764,8/19/2023,Defaulted,3,9.21,Business Expansion,None,Low
3,934,356749,1/4/2022,Approved,10,12.35,Home Renovation,House,Medium
4,352,348100,1/13/2023,Closed,9,4.85,Education,House,Low
5,650,114287,2/17/2020,Approved,9,4.39,Business Expansion,House,High
6,274,260273,4/23/2024,Closed,9,6.39,Medical,House,Low
7,714,176418,5/26/2024,Approved,3,10.78,Education,Car,Low
8,939,223287,7/23/2021,Rejected,7,6.85,Home Renovation,Car,High
9,955,428895,1/8/2022,Rejected,10,4.27,Home Renovation,None,High
10,535,199991,7/12/2021,Approved,6,9.37,Education,House,Low
11,345,429473,2/22/2023,Rejected,3,4.45,Business Expansion,House,Medium
12,497,411642,12/21/2022,Approved,2,11.1,Medical,Car,Low
13,29,174410,12/11/2020,Closed,9,6.84,Home Renovation,House,Medium
14,662,111955,2/4/2020,Approved,1,11.15,Medical,House,Low
15,183,116476,9/4/2022,Closed,1,7.67,Education,House,Medium
16,958,242399,4/11/2023,Approved,7,11.96,Business Expansion,House,High
17,280,163967,3/26/2021,Approved,9,8.38,Home Renovation,None,High
18,602,89452,12/20/2021,Defaulted,7,11.39,Education,House,Medium
19,461,298535,4/16/2022,Defaulted,5,12.42,Business Expansion,None,High
20,253,332239,3/3/2021,Closed,2,9.66,Home Renovation,None,Medium
21,701,27941,10/21/2023,Approved,10,9.7,Education,Car,Medium
22,749,286362,10/28/2021,Approved,5,6.82,Home Renovation,House,Low
23,663,201812,5/27/2023,Closed,2,5.2,Business Expansion,House,High
24,934,162640,9/1/2023,Rejected,5,10.4,Business Expansion,None,Low
25,830,289037,4/14/2022,Approved,9,6.31,Home Renovation,House,Low
26,432,274015,10/4/2024,Defaulted,7,7.54,Medical,Car,Medium
27,135,122005,4/5/2021,Closed,6,4.23,Business Expansion,None,High
28,140,144321,1/16/2020,Rejected,1,5.06,Home Renovation,House,High
29,920,308041,9/19/2023,Defaulted,8,4.25,Business Expansion,None,Low
30,329,239317,3/15/2021,Approved,3,5.21,Medical,None,High
31,509,428189,2/2/2021,Closed,8,4.12,Home Renovation,Car,High
32,409,291889,10/12/2023,Closed,4,3.78,Business Expansion,Car,Low
33,539,446126,5/25/2023,Closed,5,7.8,Medical,None,Low
34,379,458116,7/6/2024,Closed,7,9.07,Medical,Car,High
35,406,273681,1/31/2020,Closed,9,11.89,Home Renovation,Car,Low
36,166,169093,7/4/2023,Defaulted,8,8.87,Medical,Car,High
37,104,186720,9/23/2020,Approved,5,5.11,Home Renovation,Car,Medium
38,943,232097,12/4/2020,Defaulted,2,10.92,Home Renovation,Car,Medium
39,913,128715,4/5/2020,Closed,1,5.97,Home Renovation,None,High
40,856,209410,12/23/2020,Defaulted,7,10.9,Home Renovation,None,Low
41,783,327125,2/13/2023,Closed,10,9.34,Home Renovation,None,Low
42,436,480819,6/4/2021,Approved,4,7.84,Home Renovation,None,Medium
43,998,152226,4/16/2024,Rejected,2,3.69,Education,Car,Low
44,781,112595,1/1/2020,Closed,2,8.32,Education,Car,Medium
45,927,226247,6/27/2021,Defaulted,3,5.4,Business Expansion,Car,Low
46,544,331488,8/19/2021,Defaulted,1,8.84,Education,House,Low
47,574,13462,4/3/2022,Defaulted,1,7.93,Education,None,Medium
48,103,59018,10/27/2020,Defaulted,9,9.96,Home Renovation,Car,High
49,748,54637,6/20/2022,Defaulted,8,8.95,Business Expansion,Car,Medium
50,378,201059,12/8/2022,Closed,8,11.57,Education,House,High
51,700,148578,12/29/2022,Defaulted,8,8.25,Education,Car,Low
52,548,486876,4/10/2024,Defaulted,1,11.68,Business Expansion,House,Low
53,941,352113,6/13/2023,Defaulted,8,10.45,Education,Car,High
54,279,439398,3/11/2022,Closed,9,9.32,Medical,House,Medium
55,751,381861,2/22/2022,Rejected,8,3.74,Home Renovation,Car,Low
56,173,265064,8/27/2022,Closed,8,5.99,Medical,None,Low
57,154,291064,2/12/2022,Rejected,9,9.19,Home Renovation,House,High
58,592,33542,8/9/2023,Rejected,10,6.51,Business Expansion,House,Low
59,142,480718,9/9/2021,Defaulted,2,6.62,Medical,None,Low
60,168,435740,10/30/2022,Approved,3,7.09,Home Renovation,Car,Low
61,135,80581,2/26/2023,Closed,2,11.09,Business Expansion,Car,Medium
62,560,87333,8/24/2022,Closed,6,3.56,Education,Car,Medium
63,847,333825,11/7/2024,Approved,9,7,Business Expansion,Car,Medium
64,304,339000,5/1/2022,Defaulted,3,12.18,Education,None,Low
