transaction_id,loan_id,customer_id,transaction_date,transaction_amount,transaction_type,payment_method,status,remarks
1,848,440,9/29/2021 13:10,47332,Penalty,Credit Card,Failed,On-time payment.
2,2199,305,9/2/2023 18:03,4341,Penalty,Credit Card,Successful,Payment missed.
3,2391,859,11/7/2023 16:57,48308,Refund,Cash,Successful,Late penalty.
4,802,1,3/1/2020 7:26,3356,EMI Payment,Online Transfer,Failed,Payment missed.
5,2174,625,8/13/2024 7:03,25587,Penalty,Cash,Failed,Payment missed.
6,785,928,3/17/2022 14:09,3715,EMI Payment,Cash,Successful,On-time payment.
7,1041,671,3/12/2021 12:33,31096,Prepayment,UPI,Failed,Late penalty.
8,1560,795,3/19/2020 5:21,33283,Prepayment,Online Transfer,Failed,On-time payment.
9,2408,786,6/15/2020 23:14,8320,EMI Payment,Online Transfer,Pending,Late penalty.
10,2919,233,5/23/2022 8:23,17090,Penalty,Credit Card,Pending,Partial payment.
11,2726,672,11/23/2024 11:34,21662,EMI Payment,Cash,Pending,Late penalty.
12,30,839,10/1/2021 10:13,29106,Missed EMI,Cash,Pending,Late penalty.
13,2162,797,1/20/2022 0:01,38999,EMI Payment,Cash,Successful,Partial payment.
14,1998,841,7/14/2021 19:49,29521,Prepayment,Cash,Pending,On-time payment.
15,2052,595,11/1/2023 9:43,9491,Prepayment,Online Transfer,Failed,Payment missed.
16,1441,114,3/27/2022 13:17,9526,Refund,UPI,Pending,Payment missed.
17,1214,724,4/20/2020 20:13,42351,Penalty,Cash,Successful,Payment missed.
18,13,473,9/27/2023 18:17,43719,EMI Payment,Cash,Failed,Payment missed.
19,500,116,7/11/2022 6:54,19085,Penalty,Online Transfer,Successful,On-time payment.
20,2112,706,6/18/2023 17:17,16064,EMI Payment,Cash,Pending,Payment missed.
21,772,498,9/16/2022 8:08,24125,EMI Payment,UPI,Failed,On-time payment.
22,1511,306,5/31/2024 15:15,14975,Refund,Online Transfer,Failed,Partial payment.
23,1002,841,11/28/2021 11:33,32403,Penalty,UPI,Successful,Partial payment.
24,2827,163,3/19/2024 17:23,7401,Refund,UPI,Pending,On-time payment.
25,1769,572,3/31/2024 11:35,1361,Missed EMI,Cash,Pending,Partial payment.
26,2793,491,8/6/2020 21:45,36879,Missed EMI,Credit Card,Pending,Partial payment.
27,2702,330,9/5/2023 4:56,18227,Missed EMI,Credit Card,Successful,Payment missed.
